name,stars,forks,created_at,releases,language
google/ExoPlayer,21936,6014,2014-06-13T21:19:18Z,28,Java
elunez/eladmin,21934,7370,2018-12-14T08:54:24Z,1,Java
oracle/graal,21532,1784,2016-01-14T17:11:35Z,32,Java
CarGuo/GSYVideoPlayer,21431,4323,2016-11-13T12:34:31Z,64,Java
thingsboard/thingsboard,21422,6198,2016-12-01T09:33:30Z,77,Java
brettwooldridge/HikariCP,21075,3013,2013-10-08T05:43:03Z,0,Java
apache/shardingsphere,20703,6913,2016-01-18T12:49:26Z,59,Java
didi/DoKit,20434,3190,2018-08-14T10:32:07Z,14,Java
mybatis/mybatis-3,20401,12944,2013-02-14T19:03:32Z,46,Java
linlinjava/litemall,20209,7338,2018-03-22T16:42:30Z,8,Java
ReactiveX/RxAndroid,20181,2945,2014-08-19T03:46:38Z,20,Java
yudaocode/SpringBoot-Labs,20077,6178,2018-09-12T14:51:46Z,0,Java
JetBrains/intellij-community,19876,5706,2011-09-30T13:33:05Z,24,Java
dianping/cat,18971,5423,2012-12-05T02:31:48Z,3,Java
lionsoul2014/ip2region,18872,2988,2015-11-02T00:43:13Z,21,Java
Baseflow/PhotoView,18859,3923,2012-07-17T16:39:00Z,5,Java
antlr/antlr4,18807,3426,2010-02-04T01:36:28Z,31,Java
YunaiV/yudao-cloud,18709,4687,2019-05-02T16:06:49Z,40,Java
dromara/Sa-Token,18708,2888,2020-02-03T10:34:29Z,39,Java
williamfiset/Algorithms,18540,4524,2017-03-18T02:50:46Z,0,Java
Tencent/APIJSON,18408,2274,2016-11-21T12:03:29Z,111,Java
LMAX-Exchange/disruptor,18273,3962,2012-09-21T13:42:24Z,14,Java
forezp/SpringCloudLearning,17978,7998,2017-04-08T10:06:56Z,0,Java
Tencent/tinker,17819,3359,2016-09-06T06:57:52Z,60,Java
ben-manes/caffeine,17573,1683,2014-12-13T08:45:11Z,72,Java
infinilabs/analysis-ik,17434,3284,2011-12-16T09:01:45Z,1,Java
openzipkin/zipkin,17418,3101,2012-06-06T18:26:16Z,98,Java
justauth/JustAuth,17415,2852,2019-01-31T09:42:20Z,46,Java
baomidou/mybatis-plus,17324,4445,2016-08-18T10:06:53Z,40,Java
gyoogle/tech-interview-for-developer,17232,3726,2019-06-09T04:42:57Z,0,Java
material-components/material-components-android,17217,3227,2016-12-05T16:11:29Z,118,Java
facebook/fresco,17163,3749,2015-03-02T09:58:04Z,55,Java
alibaba/DataX,17147,5662,2018-01-18T10:09:47Z,7,Java
nostra13/Android-Universal-Image-Loader,17056,6040,2011-11-27T18:48:23Z,0,Java
heibaiying/BigData-Notes,16882,4308,2019-03-10T01:40:01Z,0,Java
questdb/questdb,16789,1556,2014-04-28T23:29:15Z,104,Java
winterbe/java8-tutorial,16768,4010,2014-03-16T17:25:43Z,0,Java
Grasscutters/Grasscutter,16767,4366,2022-04-17T12:43:46Z,20,Java
shuzheng/zheng,16703,7288,2016-10-04T10:07:06Z,0,Java
prestodb/presto,16667,5534,2012-08-09T01:03:37Z,14,Java
JeffLi1993/springboot-learning-example,16595,7106,2017-02-06T07:02:25Z,0,Java
neo4j/neo4j,16186,2583,2012-11-12T08:46:15Z,72,Java
ashishps1/awesome-leetcode-resources,16093,3445,2023-10-25T01:48:19Z,0,Java
android-hacker/VirtualXposed,15989,2520,2017-12-01T09:00:58Z,50,Java
dyc87112/SpringBoot-Learning,15792,4836,2016-08-21T03:39:06Z,0,Java
android10/Android-CleanArchitecture,15561,3288,2014-08-19T14:09:26Z,0,Java
quarkusio/quarkus,15560,3113,2018-07-06T00:44:20Z,465,Java
apache/hadoop,15511,9205,2014-08-28T07:00:08Z,0,Java
Konloch/bytecode-viewer,15460,1224,2014-10-14T10:26:46Z,62,Java
mockito/mockito,15435,2654,2012-10-13T20:27:12Z,226,Java
apache/pulsar,15177,3713,2016-06-28T07:00:03Z,122,Java
apache/doris,15157,3742,2017-08-10T12:13:30Z,83,Java
java-decompiler/jd-gui,15059,2476,2015-03-25T05:28:41Z,18,Java
zhisheng17/flink-learning,15056,3958,2019-01-01T07:38:28Z,0,Java
supertokens/supertokens-core,14988,657,2020-01-05T13:30:52Z,115,Java
zaproxy/zaproxy,14913,2529,2015-06-03T16:55:01Z,24,Java
cryptomator/cryptomator,14842,1278,2014-02-02T00:43:47Z,205,Java
elastic/logstash,14816,3502,2010-11-18T01:31:50Z,238,Java
theonedev/onedev,14802,944,2018-11-06T02:57:01Z,469,Java
eclipse-vertx/vert.x,14658,2098,2011-06-17T14:54:55Z,0,Java
arduino/Arduino,14553,6989,2010-09-17T19:10:36Z,37,Java
hdodenhof/CircleImageView,14543,3097,2014-01-17T16:44:46Z,0,Java
Tencent/QMUI_Android,14522,2677,2017-04-21T10:03:18Z,35,Java
alibaba/ARouter,14501,2614,2016-12-14T01:27:49Z,16,Java
GoogleContainerTools/jib,14362,1469,2018-01-22T18:30:43Z,176,Java
languagetool-org/languagetool,14217,1493,2013-08-08T16:37:22Z,0,Java
deeplearning4j/deeplearning4j,14214,3844,2013-11-27T02:03:28Z,0,Java
apache/dolphinscheduler,14203,5011,2019-03-01T16:39:25Z,56,Java
DuGuQiuBai/Java,14194,5169,2015-11-25T07:30:08Z,0,Java
kekingcn/kkFileView,14025,3223,2017-12-12T11:41:08Z,16,Java
Netflix/zuul,14000,2431,2013-03-13T18:53:57Z,61,Java
janishar/mit-deep-learning-book-pdf,13970,2872,2017-04-07T10:46:50Z,3,Java
apache/druid,13967,3777,2012-10-23T19:08:07Z,71,Java
xpipe-io/xpipe,13913,533,2023-01-27T02:25:38Z,146,Java
sqshq/piggymetrics,13882,6385,2015-03-29T17:56:31Z,2,Java
orhanobut/logger,13879,2138,2015-03-20T22:30:12Z,16,Java
pinpoint-apm/pinpoint,13815,3760,2014-10-20T09:27:22Z,62,Java
lgvalle/Material-Animations,13799,2451,2015-03-08T20:54:00Z,0,Java
seaswalker/spring-analysis,13764,4151,2016-09-09T07:46:32Z,0,Java
JessYanCoding/AndroidAutoSize,13748,2011,2018-08-17T09:04:19Z,14,Java
LuckSiege/PictureSelector,13595,3114,2017-01-04T07:47:39Z,116,Java
tink-crypto/tink,13559,1185,2014-06-06T16:21:09Z,21,Java
Bigkoo/Android-PickerView,13469,3460,2014-12-28T01:46:38Z,0,Java
projectlombok/lombok,13429,2476,2009-06-08T19:46:41Z,0,Java
macrozheng/mall-learning,13365,8319,2019-04-12T13:20:31Z,0,Java
pxb1988/dex2jar,13100,2193,2015-03-16T09:13:07Z,8,Java
metersphere/metersphere,13045,2792,2020-02-03T02:06:12Z,183,Java
youth5201314/banner,13040,2530,2016-04-22T05:50:25Z,0,Java
alibaba/COLA,12920,3231,2018-02-06T13:46:27Z,11,Java
macrozheng/mall-swarm,12890,5510,2019-11-25T06:55:31Z,3,Java
plantuml/plantuml,12838,1163,2010-11-04T15:55:50Z,67,Java
codecentric/spring-boot-admin,12824,3117,2014-07-25T11:39:13Z,147,Java
Netflix/conductor,12788,2331,2016-12-07T22:48:42Z,319,Java
apache/zookeeper,12744,7330,2009-03-27T15:41:56Z,0,Java
google/guice,12733,1686,2014-05-28T23:18:53Z,19,Java
microg/GmsCore,12711,2664,2014-04-23T19:28:47Z,45,Java
facebook/stetho,12701,1117,2015-01-22T22:34:10Z,13,Java
Netflix/eureka,12697,3780,2012-07-26T22:23:07Z,152,Java
trinodb/trino,12665,3547,2019-01-19T06:38:14Z,4,Java
opensearch-project/OpenSearch,12647,2481,2021-01-29T22:10:00Z,65,Java
greenrobot/greenDAO,12617,2873,2011-10-22T16:15:14Z,8,Java
zhihu/Matisse,12564,2053,2017-04-13T01:31:05Z,15,Java
debezium/debezium,12551,2894,2016-01-22T20:17:05Z,0,Java
daimajia/AndroidViewAnimations,12473,2418,2014-06-23T03:53:13Z,9,Java
LawnchairLauncher/lawnchair,12451,1473,2017-03-03T13:12:58Z,31,Java
pagehelper-org/Mybatis-PageHelper,12383,3114,2014-06-09T15:32:30Z,15,Java
daimajia/AndroidSwipeLayout,12382,2647,2014-08-25T04:09:33Z,18,Java
redis/jedis,12298,3902,2010-06-11T13:04:43Z,120,Java
amitshekhariitbhu/android-interview-questions,12292,2380,2017-07-09T18:47:24Z,0,Java
Team-xManager/xManager,12185,318,2021-02-08T11:31:10Z,51,Java
beemdevelopment/Aegis,12176,515,2016-08-15T19:10:31Z,73,Java
Yalantis/uCrop,12121,2227,2016-01-05T13:41:06Z,20,Java
PaperMC/Paper,12038,3316,2016-01-22T05:40:19Z,0,Java
grpc/grpc-java,11999,3977,2014-12-08T19:00:00Z,189,Java
Tencent/matrix,11998,1935,2018-12-11T07:08:02Z,16,Java
provectus/kafka-ui,11983,1380,2019-11-26T15:55:55Z,25,Java
Tencent/VasSonic,11879,1619,2017-08-01T08:35:13Z,10,Java
OpenRefine/OpenRefine,11788,2132,2012-10-15T02:22:48Z,76,Java
datahub-project/datahub,11724,3407,2015-11-18T05:47:40Z,135,Java
frank-lam/fullstack-tutorial,11698,2415,2018-04-13T01:50:10Z,0,Java
code4craft/webmagic,11696,4151,2013-04-23T12:57:36Z,33,Java
jd-opensource/joyagent-jdgenie,11586,1577,2025-07-16T02:59:53Z,1,Java
newbee-ltd/newbee-mall,11540,2765,2019-09-21T03:56:04Z,0,Java
StarRocks/starrocks,11514,2377,2021-09-04T02:29:35Z,179,Java
realm/realm-java,11489,1754,2012-04-20T09:18:42Z,0,Java
careercup/CtCI-6th-Edition,11476,4394,2015-07-02T06:28:46Z,0,Java
gyf-dev/ImmersionBar,11469,1921,2017-04-19T05:10:09Z,0,Java
jhy/jsoup,11360,2284,2009-12-19T01:29:58Z,21,Java
ssssssss-team/spider-flow,11318,2180,2020-03-27T11:07:15Z,2,Java
langchain4j/langchain4j,11317,2073,2023-06-20T15:30:29Z,61,Java
mission-peace/interview,11309,5159,2014-07-20T21:27:31Z,0,Java
apereo/cas,11308,3959,2011-09-09T01:36:42Z,315,Java
permissions-dispatcher/PermissionsDispatcher,11203,1437,2015-08-15T21:41:05Z,40,Java
daniulive/SmarterStreaming,11165,2763,2016-03-26T14:46:02Z,0,Java
lingochamp/FileDownloader,11124,2209,2015-12-22T11:17:16Z,65,Java
H07000223/FlycoTabLayout,11112,2419,2015-11-09T01:53:19Z,4,Java
apple/pkl,11105,364,2024-01-19T17:28:45Z,21,Java
jwtk/jjwt,11054,1383,2014-09-13T01:06:24Z,9,Java
jfeinstein10/SlidingMenu,11025,4969,2012-06-30T05:14:23Z,0,Java
androidannotations/androidannotations,11008,2324,2012-01-06T08:48:03Z,0,Java
asLody/VirtualApp,10950,3018,2016-07-06T13:25:23Z,0,Java
square/javapoet,10859,1387,2013-02-01T16:56:30Z,0,Java
clojure/clojure,10834,1457,2010-06-29T20:03:33Z,0,Java
aosp-mirror/platform_frameworks_base,10822,6480,2008-10-21T18:20:37Z,0,Java
TooTallNate/Java-WebSocket,10801,2589,2010-01-20T23:33:04Z,19,Java
alibaba/vlayout,10761,1788,2017-02-27T08:11:47Z,34,Java
iflytek/astron-agent,10732,1128,2025-09-19T08:46:01Z,12,Java
zfile-dev/zfile,10712,1961,2019-08-19T13:57:56Z,67,Java
android-async-http/android-async-http,10622,4051,2011-02-20T03:25:07Z,3,Java
resilience4j/resilience4j,10605,1449,2015-06-03T09:21:01Z,36,Java
jeasonlzy/okhttp-OkGo,10587,2549,2016-01-15T10:35:24Z,14,Java
google/auto,10557,1211,2013-05-22T21:41:56Z,67,Java
Activiti/Activiti,10522,6942,2012-09-13T11:34:43Z,1000,Java
lipangit/JiaoZiVideoPlayer,10504,2442,2016-02-06T11:04:24Z,78,Java
signalapp/Signal-Server,10457,2442,2013-12-09T07:10:36Z,0,Java
tbruyelle/RxPermissions,10441,1384,2015-09-29T13:55:09Z,11,Java
awsdocs/aws-doc-sdk-examples,10385,5847,2016-08-18T19:06:57Z,0,Java
SonarSource/sonarqube,10368,2174,2011-01-05T11:05:17Z,70,Java
JingMatrix/LSPosed,10284,652,2023-07-20T18:03:30Z,5,Java
JessYanCoding/MVPArms,10275,2363,2016-08-06T08:49:56Z,25,Java
ZCShou/GoGoGo,10129,1160,2021-12-03T06:59:39Z,8,Java
JakeWharton/ViewPagerIndicator,10086,3954,2011-08-04T17:13:44Z,0,Java
stanfordnlp/CoreNLP,10062,2718,2013-06-27T21:13:49Z,19,Java
happydog-intj/JsBridge,9930,2012,2015-02-26T12:10:58Z,0,Java
xuchengsheng/spring-reading,9928,1257,2023-09-15T06:42:44Z,0,Java
wasabeef/glide-transformations,9911,1405,2015-01-09T10:33:29Z,0,Java
googlesamples/easypermissions,9899,1463,2015-12-22T18:05:53Z,12,Java
paascloud/paascloud-master,9886,4259,2018-03-17T05:40:43Z,0,Java
hackware1993/MagicIndicator,9812,1553,2016-06-26T08:20:43Z,12,Java
OpenFeign/feign,9787,1938,2013-06-26T23:28:16Z,49,Java
HarlonWang/AVLoadingIndicatorView,9779,1878,2015-10-24T20:18:33Z,1,Java
lihengming/spring-boot-api-project-seed,9715,3748,2017-06-23T10:06:30Z,4,Java
spinnaker/spinnaker,9708,1259,2014-07-02T19:02:36Z,28,Java
YoKeyword/Fragmentation,9706,2102,2016-02-23T08:54:55Z,30,Java
apache/cassandra,9677,3855,2009-05-21T02:10:09Z,0,Java
perwendel/spark,9665,1568,2011-05-05T11:52:05Z,0,Java
koral--/android-gif-drawable,9661,1789,2013-01-30T01:37:46Z,63,Java
react-native-camera/react-native-camera,9648,3539,2015-04-01T00:54:40Z,144,Java
opendataloader-project/opendataloader-pdf,9646,713,2025-05-13T05:48:02Z,52,Java
AutoMQ/automq,9628,674,2023-08-17T07:50:13Z,81,Java
ksoichiro/Android-ObservableScrollView,9626,2048,2014-11-08T14:45:20Z,0,Java
flyway/flyway,9623,1605,2012-12-14T18:43:22Z,291,Java
bilibili/DanmakuFlameMaster,9613,2113,2013-08-11T12:18:50Z,5,Java
seven332/EhViewer,9550,944,2014-05-14T12:03:52Z,97,Java
MyCATApache/Mycat-Server,9542,3824,2014-12-04T02:46:54Z,7,Java
liaohuqiu/android-Ultra-Pull-To-Refresh,9531,2641,2014-11-13T03:13:10Z,8,Java
crossoverJie/cim,9489,2875,2018-05-20T15:55:56Z,9,Java
umano/AndroidSlidingUpPanel,9484,2242,2013-05-31T18:33:53Z,8,Java
spring-projects/spring-security,9476,6249,2012-01-10T21:50:57Z,249,Java
Justson/AgentWeb,9411,1662,2017-05-12T07:45:56Z,21,Java
json-path/JsonPath,9394,1714,2011-01-24T13:19:19Z,12,Java
pockethub/PocketHub,9381,3422,2011-09-08T16:52:50Z,1,Java
huanghaibin-dev/CalendarView,9370,1846,2017-03-11T07:16:09Z,1,Java
GcsSloop/AndroidNote,9340,2145,2016-01-04T23:51:36Z,0,Java
android/testing-samples,9302,3646,2014-10-11T03:51:27Z,0,Java
apache/jmeter,9290,2272,2010-05-26T23:38:07Z,10,Java
apache/seatunnel,9202,2202,2017-08-05T09:14:47Z,53,Java
cats-oss/android-gpuimage,9157,2305,2012-10-04T08:11:58Z,0,Java
flowable/flowable-engine,9148,2820,2016-10-13T07:21:43Z,29,Java
didi/VirtualAPK,9067,1537,2017-06-29T07:25:05Z,4,Java
HMCL-dev/HMCL,9010,846,2015-06-22T08:06:03Z,317,Java
alibaba/spring-ai-alibaba,8955,1980,2024-09-09T01:35:50Z,18,Java
KunMinX/Jetpack-MVVM-Best-Practice,8951,1651,2019-10-31T05:21:01Z,0,Java
navasmdc/MaterialDesignLibrary,8944,2201,2014-09-30T07:37:17Z,3,Java
Freelander/Android_Data,8918,2024,2015-04-04T01:37:44Z,0,Java
LSPosed/LSPatch,8913,1073,2021-03-01T19:38:36Z,9,Java
java-native-access/jna,8909,1682,2011-04-29T13:30:29Z,0,Java
checkstyle/checkstyle,8904,4076,2013-08-31T02:05:05Z,182,Java
frohoff/ysoserial,8826,1856,2015-01-28T07:13:55Z,1,Java
karatelabs/karate,8814,2022,2017-02-07T15:59:17Z,57,Java
PojavLauncherTeam/PojavLauncher,8805,1905,2020-03-11T03:22:54Z,126,Java
nathanmarz/storm,8789,1651,2011-09-17T07:55:13Z,0,Java
apache/shenyu,8783,3036,2018-07-11T08:17:45Z,14,Java
laobie/StatusBarUtil,8771,1714,2016-02-15T03:06:06Z,0,Java
cabaletta/baritone,8759,1807,2018-08-01T15:34:21Z,85,Java
Blankj/awesome-java-leetcode,8737,1703,2017-04-17T15:51:41Z,0,Java
apache/iceberg,8667,3105,2018-11-19T16:26:46Z,32,Java
chrisbanes/Android-PullToRefresh,8665,4650,2011-11-29T09:59:56Z,0,Java
ybq/Android-SpinKit,8653,1319,2016-03-20T08:40:51Z,0,Java
amitshekhariitbhu/Android-Debug-Database,8645,881,2016-11-16T14:20:24Z,14,Java
react-native-image-picker/react-native-image-picker,8637,2086,2015-06-08T20:25:31Z,142,Java
shwenzhang/AndResGuard,8634,1549,2015-10-11T11:48:06Z,4,Java
testcontainers/testcontainers-java,8614,1813,2015-04-12T12:44:59Z,91,Java
dropwizard/dropwizard,8602,3419,2011-01-19T19:52:29Z,192,Java
airbnb/epoxy,8571,734,2016-08-08T23:05:11Z,78,Java
facebook/buck,8562,1133,2013-04-17T18:12:18Z,57,Java
google/tsunami-security-scanner,8557,916,2020-06-03T16:20:00Z,1,Java
junit-team/junit4,8554,3278,2009-01-13T03:41:26Z,13,Java
chrisjenx/Calligraphy,8545,1084,2013-12-20T02:35:45Z,4,Java
aeron-io/aeron,8532,1016,2014-02-07T17:16:58Z,139,Java
apache/beam,8527,4523,2016-02-02T08:00:06Z,57,Java
wildfirechat/im-server,8463,1897,2019-01-23T15:21:28Z,115,Java
DImuthuUpe/AndroidPdfViewer,8463,2138,2016-06-02T20:21:21Z,0,Java
hs-web/hsweb-framework,8404,3036,2016-01-18T03:51:39Z,32,Java
roughike/BottomBar,8386,1484,2016-03-16T01:31:05Z,4,Java
pentaho/pentaho-kettle,8325,3584,2013-10-08T18:27:11Z,1,Java
spring-projects/spring-ai,8312,2392,2023-06-27T18:57:29Z,19,Java
bytedeco/javacv,8305,1617,2014-04-21T13:50:26Z,14,Java
alibaba/transmittable-thread-local,8270,1726,2013-10-13T08:48:33Z,58,Java
aritraroy/UltimateAndroidReference,8261,1280,2017-04-10T07:28:27Z,0,Java
apache/shardingsphere-elasticjob,8221,3258,2015-09-11T11:28:52Z,31,Java
krahets/LeetCode-Book,8191,883,2021-12-17T14:16:02Z,0,Java
alibaba/atlas,8170,1469,2017-02-28T06:31:43Z,7,Java
alibaba/otter,8133,2476,2013-08-09T09:31:22Z,10,Java
apache/tomcat,8128,5359,2011-10-01T07:00:19Z,0,Java
florent37/MaterialViewPager,8106,1469,2015-04-24T17:53:15Z,11,Java
guolindev/LitePal,8084,1587,2013-02-20T03:20:07Z,0,Java
LaurieWired/GhidraMCP,8055,741,2025-03-23T05:36:55Z,5,Java
junixapp/XPopup,8023,1211,2018-12-07T06:16:48Z,221,Java
davemorrissey/subsampling-scale-image-view,8009,1231,2013-08-26T16:45:25Z,21,Java
gunnarmorling/1brc,7987,2212,2023-12-28T09:13:24Z,0,Java
Graylog2/graylog2-server,7986,1099,2010-05-17T21:27:02Z,0,Java
Netflix/SimianArmy,7984,1123,2012-07-06T22:00:05Z,4,Java
JakeWharton/hugo,7913,794,2013-11-25T09:16:40Z,0,Java
jeecgboot/jimureport,7892,1842,2019-12-05T12:25:59Z,33,Java
dropwizard/metrics,7851,1794,2010-02-26T19:44:42Z,142,Java
exadel-inc/CompreFace,7851,1079,2020-07-06T08:29:43Z,11,Java
HannahMitt/HomeMirror,7831,655,2015-08-23T03:20:08Z,0,Java
lecho/hellocharts-android,7795,1603,2014-10-12T09:12:37Z,14,Java
ChrisRM/material-theme-jetbrains,7767,444,2015-09-23T07:15:04Z,17,Java
AntennaPod/AntennaPod,7756,1652,2012-07-31T10:25:08Z,65,Java
Tencent/Shadow,7743,1346,2019-06-13T10:50:27Z,5,Java
PowerJob/PowerJob,7717,1369,2020-03-16T09:19:55Z,51,Java
goldze/MVVMHabit,7709,1698,2017-07-21T10:38:40Z,3,Java
MuntashirAkon/AppManager,7696,435,2020-05-30T04:08:56Z,76,Java
trello-archive/RxLifecycle,7670,637,2015-07-20T13:32:23Z,22,Java
vipshop/vjtools,7655,1517,2018-05-29T09:07:08Z,9,Java
mapstruct/mapstruct,7632,1013,2012-05-28T12:42:42Z,36,Java
FongMi/TV,7628,2320,2022-06-22T09:10:23Z,0,Java
gedoor/MyBookshelf,7624,1803,2018-06-12T03:48:07Z,165,Java
google/android-classyshark,7597,874,2015-10-12T13:40:48Z,17,Java
MinecraftForge/MinecraftForge,7566,2795,2012-01-30T01:35:01Z,0,Java
koush/AndroidAsync,7550,1549,2012-08-24T07:27:04Z,0,Java
kaushikgopal/RxJava-Android-Samples,7527,1365,2014-07-23T05:13:52Z,0,Java
kevin-wayne/algs4,7523,2676,2015-08-31T09:28:49Z,0,Java
swagger-api/swagger-core,7522,2248,2011-07-05T23:44:11Z,129,Java
Genymobile/gnirehtet,7504,693,2017-02-09T16:01:13Z,12,Java
