Model,Context Size,Cross-File Bugs,Historical Bugs,Complex Traces,Avg. Success,Statistical Significance
Kodezi Chronos,Unlimited,71.2%±1.8%,68.9%±2.0%,74.3%±1.6%,71.5%±1.8%,baseline
GPT-4-32K,32K tokens,7.2%±1.9%,3.1%±1.2%,5.8%±1.6%,5.4%±1.5%,p<0.001***
Claude-3-200K,200K tokens,9.8%±2.1%,4.7%±1.4%,8.3%±1.8%,7.6%±1.7%,p<0.001***
Gemini-1.5-Pro-1M,1M tokens,14.3%±2.3%,6.2%±1.5%,11.7%±2.0%,10.7%±1.9%,p<0.001***
