Retrieval_Task,Precision,Recall,F1_Score,Test_Cases
Variable Tracing,92.3%±1.4%,89.7%±1.6%,91.0%±1.2%,1000
Cross-File Dependencies,88.9%±1.8%,91.2%±1.5%,90.0%±1.4%,1000
Historical Bug Patterns,94.1%±1.1%,87.3%±2.0%,90.6%±1.3%,1000
Test-Code Mapping,91.7%±1.3%,93.5%±1.2%,92.6%±1.0%,1000
Documentation Links,85.4%±2.1%,88.9%±1.9%,87.1%±1.7%,1000
Average,90.5%±0.8%,90.1%±0.9%,90.3%±0.7%,5000
